cols,importance,model_name,model_target
order_weekday,0.3256141321077793,tree,y_weekday
order_weekend,0.26100372300061314,tree,y_weekday
order_delivery,0.0723414337965815,tree,y_weekday
order_fin,0.0358628359866042,tree,y_weekday
order_time_14,0.029003380271839588,tree,y_weekday
order_time_11,0.028698215404465294,tree,y_weekday
order_time_18,0.02554006057916062,tree,y_weekday
delta_avg,0.02267778454613094,tree,y_weekday
order_takeout,0.022297471523126586,tree,y_weekday
order_time_21,0.021995862184407012,tree,y_weekday
order,0.021544439091174376,tree,y_weekday
order_time_12,0.018151792665981745,tree,y_weekday
order_time_17,0.018092643957414865,tree,y_weekday
order_cancel,0.01719515134296679,tree,y_weekday
order_time_15,0.015096839116984952,tree,y_weekday
order_time_20,0.014883183522424646,tree,y_weekday
order_time_16,0.01378914687074636,tree,y_weekday
order_time_13,0.009794455335847385,tree,y_weekday
order_time_19,0.005285038828520173,tree,y_weekday
store_池袋店,0.0030651415246529513,tree,y_weekday
store_宇都宮店,0.0018441512644192968,tree,y_weekday
store_瀬谷店,0.001818621256169328,tree,y_weekday
store_小金井店,0.0017782887192614649,tree,y_weekday
store_坂戸店,0.0017782887192614649,tree,y_weekday
store_北千住店,0.0017065119863751733,tree,y_weekday
store_市川店,0.001693608304058538,tree,y_weekday
store_松戸店,0.0013172509031566402,tree,y_weekday
store_武蔵野店,0.0012124695813146348,tree,y_weekday
store_成城店,0.0009879381773674803,tree,y_weekday
store_西東京店,0.000938820347080291,tree,y_weekday
store_富里店,0.0009020305097703086,tree,y_weekday
store_神田店,0.0006256941789994052,tree,y_weekday
store_上野店,0.0005488545429819339,tree,y_weekday
store_駒沢店,0.00047722437381309945,tree,y_weekday
store_千葉中央店,0.00043751547854845556,tree,y_weekday
store_町田店,0.0,tree,y_weekday
store_王子店,0.0,tree,y_weekday
store_白井店,0.0,tree,y_weekday
store_狭山店,0.0,tree,y_weekday
store_狛江店,0.0,tree,y_weekday
store_熊谷店,0.0,tree,y_weekday
store_目黒店,0.0,tree,y_weekday
store_相模原店,0.0,tree,y_weekday
store_石神井店,0.0,tree,y_weekday
store_港南店,0.0,tree,y_weekday
store_神奈川店,0.0,tree,y_weekday
store_磯子店,0.0,tree,y_weekday
store_江東店,0.0,tree,y_weekday
store_港北店,0.0,tree,y_weekday
store_水戸店,0.0,tree,y_weekday
store_板橋店,0.0,tree,y_weekday
store_柏店,0.0,tree,y_weekday
store_栃木店,0.0,tree,y_weekday
store_栄店,0.0,tree,y_weekday
store_桐生店,0.0,tree,y_weekday
store_横浜南店,0.0,tree,y_weekday
store_横浜緑店,0.0,tree,y_weekday
store_横須賀店,0.0,tree,y_weekday
store_武蔵村山店,0.0,tree,y_weekday
store_江戸川店,0.0,tree,y_weekday
store_渋谷店,0.0,tree,y_weekday
store_秦野店,0.0,tree,y_weekday
store_池尻店,0.0,tree,y_weekday
store_泉店,0.0,tree,y_weekday
store_流山店,0.0,tree,y_weekday
store_浅草店,0.0,tree,y_weekday
store_浦和店,0.0,tree,y_weekday
store_浦安店,0.0,tree,y_weekday
store_海老名店,0.0,tree,y_weekday
store_清瀬店,0.0,tree,y_weekday
store_福生店,0.0,tree,y_weekday
store_茂原店,0.0,tree,y_weekday
store_稲城店,0.0,tree,y_weekday
store_立川店,0.0,tree,y_weekday
store_足利店,0.0,tree,y_weekday
store_足柄上店,0.0,tree,y_weekday
store_足立店,0.0,tree,y_weekday
store_逗子店,0.0,tree,y_weekday
store_那珂店,0.0,tree,y_weekday
store_都筑店,0.0,tree,y_weekday
store_金沢店,0.0,tree,y_weekday
store_銀座店,0.0,tree,y_weekday
store_鎌倉店,0.0,tree,y_weekday
store_青山店,0.0,tree,y_weekday
store_青梅店,0.0,tree,y_weekday
store_青葉店,0.0,tree,y_weekday
store_館林店,0.0,tree,y_weekday
store_駒込店,0.0,tree,y_weekday
store_高円寺店,0.0,tree,y_weekday
store_高島平店,0.0,tree,y_weekday
store_高崎店,0.0,tree,y_weekday
store_高座店,0.0,tree,y_weekday
store_高津店,0.0,tree,y_weekday
store_高田馬場店,0.0,tree,y_weekday
store_鴻巣店,0.0,tree,y_weekday
store_越谷店,0.0,tree,y_weekday
store_赤羽店,0.0,tree,y_weekday
store_赤坂店,0.0,tree,y_weekday
store_茅ヶ崎店,0.0,tree,y_weekday
