DataCategory,acc,f1,recall,precision,tp,fn,fp,tn
train,1.0,1.0,1.0,1.0,819,0,0,682
test,0.8074534161490683,0.8243626062322947,0.8290598290598291,0.819718309859155,291,60,64,229
