DataCategory,acc,f1,recall,precision,tp,fn,fp,tn,model_name,model_target
train,1.0,1.0,1.0,1.0,854,0,0,784,tree,y_weekday
test,0.8091168091168092,0.8290816326530612,0.8165829145728644,0.8419689119170984,325,73,61,243,tree,y_weekday
train,1.0,1.0,1.0,1.0,854,0,0,784,RandomFores,y_weekday
test,0.7834757834757835,0.806615776081425,0.7964824120603015,0.8170103092783505,317,81,71,233,RandomFores,y_weekday
train,0.8534798534798534,0.8609501738122827,0.870023419203747,0.8520642201834863,743,111,129,655,GradientBoosting,y_weekday
test,0.8091168091168092,0.8325,0.8366834170854272,0.8283582089552238,333,65,69,235,GradientBoosting,y_weekday
train,1.0,1.0,1.0,1.0,808,0,0,830,tree,y_weekend
test,0.7549857549857549,0.7353846153846154,0.7155688622754491,0.7563291139240507,239,95,77,291,tree,y_weekend
train,1.0,1.0,1.0,1.0,808,0,0,830,RandomFores,y_weekend
test,0.8062678062678063,0.7848101265822784,0.7425149700598802,0.8322147651006712,248,86,50,318,RandomFores,y_weekend
train,0.8687423687423688,0.8595689092096669,0.8143564356435643,0.9100968188105117,658,150,65,765,GradientBoosting,y_weekend
test,0.8233618233618234,0.8025477707006368,0.7544910179640718,0.8571428571428571,252,82,42,326,GradientBoosting,y_weekend
