cols,importance,model_name,model_target
store_上尾店,0.0,tree,y_weekday
store_上野店,0.0,tree,y_weekday
store_世田谷店,0.0,tree,y_weekday
store_中原店,0.0,tree,y_weekday
store_中野店,0.0,tree,y_weekday
store_入間店,0.0,tree,y_weekday
store_久喜店,0.0,tree,y_weekday
store_九段店,0.0,tree,y_weekday
store_亀有店,0.0,tree,y_weekday
store_五反田店,0.0,tree,y_weekday
store_代々木店,0.0,tree,y_weekday
store_伊勢原店,0.0,tree,y_weekday
store_伊勢崎店,0.0,tree,y_weekday
store_佐倉店,0.0,tree,y_weekday
store_佐野店,0.0,tree,y_weekday
store_大和店,0.0,tree,y_weekday
store_大宮店,0.0,tree,y_weekday
store_大森店,0.0,tree,y_weekday
store_新座店,0.0,tree,y_weekday
store_恵比寿店,0.0,tree,y_weekday
store_愛甲店,0.0,tree,y_weekday
store_成城店,0.0,tree,y_weekday
store_成田店,0.0,tree,y_weekday
store_我孫子店,0.0,tree,y_weekday
store_戸塚店,0.0,tree,y_weekday
store_戸田店,0.0,tree,y_weekday
store_所沢店,0.0,tree,y_weekday
store_新宿店,0.0,tree,y_weekday
store_日立店,0.0,tree,y_weekday
store_大泉店,0.0,tree,y_weekday
store_日野店,0.0,tree,y_weekday
store_旭店,0.0,tree,y_weekday
store_春日部店,0.0,tree,y_weekday
store_昭島店,0.0,tree,y_weekday
store_木更津店,0.0,tree,y_weekday
store_本庄店,0.0,tree,y_weekday
store_本郷店,0.0,tree,y_weekday
store_杉並店,0.0,tree,y_weekday
store_東中野店,0.0,tree,y_weekday
store_志木店,0.0,tree,y_weekday
store_座間店,0.0,tree,y_weekday
store_府中店,0.0,tree,y_weekday
store_幸店,0.0,tree,y_weekday
store_大田店,0.0,tree,y_weekday
store_太田店,0.0,tree,y_weekday
store_宇都宮店,0.0,tree,y_weekday
store_守谷店,0.0,tree,y_weekday
store_宮前店,0.0,tree,y_weekday
store_富岡店,0.0,tree,y_weekday
store_富津店,0.0,tree,y_weekday
store_富里店,0.0,tree,y_weekday
store_小山店,0.0,tree,y_weekday
store_小平店,0.0,tree,y_weekday
store_小田原店,0.0,tree,y_weekday
store_小金井店,0.0,tree,y_weekday
store_川口店,0.0,tree,y_weekday
store_川崎多摩店,0.0,tree,y_weekday
store_川崎店,0.0,tree,y_weekday
store_巣鴨店,0.0,tree,y_weekday
store_市原店,0.0,tree,y_weekday
store_市川店,0.0,tree,y_weekday
store_平塚店,0.0,tree,y_weekday
store_鶴見店,0.0,tree,y_weekday
order_weekend,0.1850959330326906,RandomFores,y_weekday
order_weekday,0.10146040116084955,RandomFores,y_weekday
order,0.05387879931631465,RandomFores,y_weekday
order_delivery,0.047254478146968024,RandomFores,y_weekday
order_fin,0.04224036588230131,RandomFores,y_weekday
order_cancel,0.037865122626429944,RandomFores,y_weekday
order_takeout,0.03677467455601485,RandomFores,y_weekday
delta_avg,0.03597798093640337,RandomFores,y_weekday
order_time_16,0.035942433052664494,RandomFores,y_weekday
