DataCategory,acc,f1,recall,precision,tp,fn,fp,tn,model_name,model_target
train,1.0,1.0,1.0,1.0,1128,0,0,919,tree,y_weekday
test,0.7517084282460137,0.7793522267206477,0.7490272373540856,0.8122362869198312,385,129,89,275,tree,y_weekday
train,1.0,1.0,1.0,1.0,1128,0,0,919,RandomFores,y_weekday
test,0.7562642369020501,0.7868525896414342,0.7684824902723736,0.8061224489795918,395,119,95,269,RandomFores,y_weekday
train,0.8255984367366879,0.8416851441241685,0.8413120567375887,0.842058562555457,949,179,178,741,GradientBoosting,y_weekday
test,0.7881548974943052,0.811740890688259,0.7801556420233463,0.8459915611814346,401,113,73,291,GradientBoosting,y_weekday
train,1.0,1.0,1.0,1.0,1008,0,0,1039,tree,y_weekend
test,0.7425968109339408,0.7365967365967366,0.7505938242280285,0.7231121281464531,316,105,121,336,tree,y_weekend
train,1.0,1.0,1.0,1.0,1008,0,0,1039,RandomFores,y_weekend
test,0.8257403189066059,0.8136419001218027,0.7933491686460807,0.835,334,87,66,391,RandomFores,y_weekend
train,0.8539325842696629,0.8475267720550739,0.8244047619047619,0.8719832109129066,831,177,122,917,GradientBoosting,y_weekend
test,0.8382687927107062,0.8276699029126214,0.8099762470308789,0.8461538461538461,341,80,62,395,GradientBoosting,y_weekend
