cols,importance,model_name
order_weekday,0.10146040116084955,RandomFores
order,0.05387879931631465,RandomFores
order_delivery,0.047254478146968024,RandomFores
order_fin,0.04224036588230131,RandomFores
order_cancel,0.037865122626429944,RandomFores
order_takeout,0.03677467455601485,RandomFores
delta_avg,0.03597798093640337,RandomFores
order_time_16,0.035942433052664494,RandomFores
order_time_15,0.03511348245826607,RandomFores
order_time_19,0.035101858197514484,RandomFores
order_time_20,0.0343577190534544,RandomFores
order_time_17,0.0336720604397536,RandomFores
order_time_11,0.03326400708205835,RandomFores
order_time_13,0.03317497270581026,RandomFores
order_time_21,0.03304394060709288,RandomFores
order_time_14,0.032572857963394417,RandomFores
order_time_18,0.03110287048822079,RandomFores
order_time_12,0.030453978585823833,RandomFores
store_前橋店,0.0009455755297217259,RandomFores
store_港北店,0.000941483701431854,RandomFores
store_木更津店,0.0009347558264740273,RandomFores
store_東尾久店,0.0009335061787111318,RandomFores
store_久喜店,0.0008814940849138166,RandomFores
store_八千代店,0.0008752612478141698,RandomFores
store_高崎店,0.0008201591947632857,RandomFores
store_つくば店,0.0008193789947981117,RandomFores
store_池尻店,0.0008009594493002141,RandomFores
store_保土ケ谷店,0.0007973025394282326,RandomFores
store_町田店,0.0007831346333459102,RandomFores
store_熊谷店,0.0007808814952633235,RandomFores
store_逗子店,0.0007769731669012713,RandomFores
store_大塚店,0.000765349267079025,RandomFores
store_金沢店,0.0007463653971080173,RandomFores
store_磯子店,0.0007452399426384357,RandomFores
store_西東京店,0.0007429440928617083,RandomFores
store_六本木店,0.0007173933060701294,RandomFores
store_西葛西店,0.0007144922712784328,RandomFores
store_浅草店,0.0007064390686415069,RandomFores
store_武蔵村山店,0.0006943488419668612,RandomFores
store_葛飾店,0.0006889180855001741,RandomFores
store_さいたま緑店,0.000683375999466474,RandomFores
store_東大和店,0.000669838395318326,RandomFores
store_小田原店,0.000667969226883797,RandomFores
store_墨田店,0.0006637672414905188,RandomFores
store_千葉中央店,0.000658974532131249,RandomFores
store_狛江店,0.0006540719114307592,RandomFores
store_横浜南店,0.0006532606899691932,RandomFores
store_川口店,0.0006411063776714421,RandomFores
store_武蔵野店,0.0006404724268346149,RandomFores
store_銀座店,0.000636338573004109,RandomFores
