DataCategory,acc,f1,recall,precision,tp,fn,fp,tn,model_name
train,1.0,1.0,1.0,1.0,819,0,0,682,tree
test,0.8074534161490683,0.8243626062322947,0.8290598290598291,0.819718309859155,291,60,64,229,tree
train,1.0,1.0,1.0,1.0,819,0,0,682,RandomFores
test,0.7981366459627329,0.8142857142857142,0.811965811965812,0.8166189111747851,285,66,64,229,RandomFores
train,0.8954030646235843,0.9051359516616314,0.9145299145299145,0.895933014354067,749,70,87,595,GradientBoostingClassifier
test,0.827639751552795,0.8416547788873038,0.8404558404558404,0.8428571428571429,295,56,55,238,GradientBoostingClassifier
