DataCategory,acc,f1,recall,precision,tp,fn,fp,tn,model_name,model_target
train,1.0,1.0,1.0,1.0,1136,0,0,911,tree,y_weekday
test,0.755125284738041,0.780835881753313,0.7569169960474308,0.8063157894736842,383,123,92,280,tree,y_weekday
train,1.0,1.0,1.0,1.0,1136,0,0,911,RandomFores,y_weekday
test,0.7585421412300684,0.7875751503006012,0.7766798418972332,0.7987804878048781,393,113,99,273,RandomFores,y_weekday
train,0.82266731802638,0.8427890861844956,0.8565140845070423,0.8294970161977835,973,163,200,711,GradientBoosting,y_weekday
test,0.7972665148063781,0.8216432865731464,0.8102766798418972,0.8333333333333334,410,96,82,290,GradientBoosting,y_weekday
train,1.0,1.0,1.0,1.0,1006,0,0,1041,tree,y_weekend
test,0.7334851936218679,0.7285382830626449,0.7423167848699763,0.715261958997722,314,109,125,330,tree,y_weekend
train,1.0,1.0,1.0,1.0,1006,0,0,1041,RandomFores,y_weekend
test,0.8291571753986332,0.8205741626794258,0.8108747044917257,0.8305084745762712,343,80,70,385,RandomFores,y_weekend
train,0.8534440644846116,0.8463114754098361,0.8210735586481114,0.8731501057082452,826,180,120,921,GradientBoosting,y_weekend
test,0.835990888382688,0.8285714285714286,0.8226950354609929,0.8345323741007195,348,75,69,386,GradientBoosting,y_weekend
